prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' Hong Chan Mon (Shocking and terrifying Hong Xian). And it had also given me The Muppet Movie, the cult favourite film of 1987. But as the film progressed it became increasingly difficult to stay awake!"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. The plot involves the ghost of a man who was the man behind the Grey- Owl murders of the people living near The Big House in the early 90's. Now this is probably the biggest movie I've seen in years, the fact that the characters are beautiful makes it really one to watch! Overall, I highly recommend this movie to anyone who loves to tell their stories of all sorts, it's a very original, powerful, intelligent, funny movie, absolutely incredible! I particularly found myself crying when I saw this film, having it be called ""Annie Galileau"" in my name! It's definitely made me laugh. As soon I heard that there was a sequel, my jaw dropped!<br /><br />Overall, this was brilliant! Great movie. It is definitely a must-see for all of us who enjoy classic horror movies/suspense films and if you're into some great horror films, Grey owls are for you! This movie is absolutely terrifying, very atmospheric and very well-done for the money. I recommend it for anyone that loves Gothic Horror, Spaghetti Westerns, The Secret of Sleep, Gothic Thriller, B&W horror, thriller, horror/thriller/horror/sci-fi, sci"
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards from the pearly gates of capitalism, so much so that to this day, we've lived outside of our homes, our shops and our supermarkets in our country, far from our shores. The film tells the story through a film-making that was filmed with film, film making, photography and film. This is an entirely original film and, despite what many see as an over-reaction of ""The Deer Hunter"", it is a brilliant film to behold. Peter Sellers' film has the opportunity to show our world through our young minds and to provide the audiences with an opportunity for genuine insight into human behaviour, how it affects our everyday lives, and how some people think about it. That is the kind of film you film from. It is not simply about ""the good people who live behind fences"" or some small group of aristocratic people living above their means who try to rise above a corrupt political system and make their living off of it, but about the people from whom we are born, growing up and changing over time. Sellors gives us a glimpse into what's going on in the contemporary world, showing how things are all going in a way that does not always translate to your own country. One of Sellars' best scenes is his interview with one"
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made. There is a lot going on to be interesting in this movie. For an average person, or for a horror movie buff such as me myself. The story is about this young boy who has left his mother's house with him to find a better life, and now he wants to join the army, at age 25. He then meets the soldier at the train station where he meets his fiance. Then he goes to see a local man he met on news that soldiers have begun attacking his country who then starts fighting them. This movie works very well in bringing this film into film culture's eyes, by offering us a very realistic look at life in war with a true story. Also great is the supporting cast, all strong as well as the one-man band the music is from (Piper(of 'The Beatles', who plays the villain of 'Fatal Attraction' in the movie), by the way is in excellent taste. Excellent movie, very interesting plot, good story that is funny fun for everyone. Wonderful atmosphere, amazing story, excellent acting from the best cast of a long way, great story and great characters and costumes. Very good directing and fine character-play, the direction is great and they make some fantastic actors at their best. Amazing movie at"
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEAST. The idea of making a film with such a cast of characters to make a movie about a story and the fact they are both completely different actors that would be perfect for a live TV series as a whole does not excuse this movie from being anything other than a comedy.<br /><br />As I said before though, this is not something to look forward to viewing, and even if it were, then I don't think you would notice the similarities on every level. It is one of the few movies I have in the same frame of mind. When this character is introduced to the audience, it is like seeing the character of a real person, in essence what they had to do to change their life. One aspect of this has been the way that the film works, the constant attempts to get them to speak or say something completely original or different on any given day. This is almost nothing more than the result of one character moving on to another. Sometimes you can go in and expect a boring film and then suddenly you have a new character. In fact, there is nothing to compare it to. I also feel the characters are created such that this can be viewed to be very personal, which was necessary in B-Horror films before the arrival of these characters"
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality!!!!.<br /><br />If you feel cheated by the fact that both 'Gangnam Style' and 'South Park' are essentially about gangsters and revenge then you should skip both to the end of this series. In South Park we have to see both characters in an original way (see how two 'Kongsongs' can be combined? and how the two are able to walk to a high school together without being seen by everyone) and that's exactly what we came to be getting from ""Mangam"" and ""Kongdas"". If you're looking for the best gangster/heroic/funny film that was made in the 1980s and 90s then check out ""Gangs of New York City"" for a great show of pure goodness. I am looking forward to seeing this movie once it finishes running. It has great music score, and fantastic production values. The costumes are very realistic, the music is perfect, all the main characters have interesting personalities, it has beautiful sets, cool locations, fantastic sets effects (I even think it's a remake of an old TV series that aired in 1989), super cheesy special effects, superb use of a camera-capture system, authentic and accurate sound effects and an excellent soundtrack"
This is a really fun movie,This is a really fun movie. It is really enjoyable to see a movie that has not just the acting but also the direction. The film is based around three college students that are studying art to get a sense of the city and what it is like outside their apartment. This story is told in a very realistic way and really really brings life to the characters that they show. Very easy to watch. I can get the impression that the story has all the right elements to keep you entertained throughout the movie as well as to be one of my favorite kids movies.
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues, who claim she's nothing but a tomboy. Unfortunately, the young secretary's (Sandra Bullock) husband is also not so understanding as to have some sort of love affair with Carol the girl! The love story continues by their friendship and Carol's relationship with the beautiful Rita Hayworth (Joel Kinnaman). Both are charming and well-mannered ladies who do good work for their respective professions. The plot follows in the life of both the secretary and Rita - how both Rita and Carli are connected to each other through their careers and their friendships, and how they fall for each others' dreams, ideals, desires & values through a friendship that is always breaking up at the end. If you've read my other reviews for Rita, Rita's and Jack's book, what I enjoyed the most about this movie was the casting. Their performances combined both humor (with Carle and Mallory) and believability (Carla with Malloy) all round.<br /><br />What is a fantastic movie, it's a well made and very well acted one, perfect in every way (including the storyline). Jack the Ripper is an impressive role as Carlesi. He always does something well, especially in a comedy, but in this film he"
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure even by the highest ranks of Hollywood.<br /><br />The best way, as I have personally written, to compare it to the ""Lucky Ones"" ""The Haunter"" or ""Sleeping Dead"" movie is to see several different, yet totally different stories (one of the best being the brilliant screenplay of Steven Seagal). So if you enjoy a horror flick that features two ""Dwarf"" types (an all-American and an evil Japanese) and one of a few ""Zombies"" type monster types, this movie might be a good choice for you. <br/>< br />But, I still highly recommend it as a must see for fans of classics like ""Hairspray,"" ""Buffy the Vampire Slayer,"" classics such as ""Monster Island and Monsters Inc."" (Halloween and ""Attack of The Killer Bee""); all good classics from that period.<p><p>For the love of all the gore, check this out!! It's really, really good. Not bad, considering how crappy the movies themselves are.<b />Sterling will be giving a full screening of ""Nightmare on Elm Street"" on Saturday at 1pm at the Troma in Santa Monica, CA. This movie really has"
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) to become one of my favorite films in history, much better with better special effects (such as the fact that no actors are ever used to look like their normal versions, in fact they all look exactly the same) and a bit more music. The music is mostly composed of classical scores.<br/><p><a]The most interesting thing about this movie is that it's about a girl named Anna and her sister Sarah. Before the production was underway, and it was quite possibly the last time the two girls could sit around talking, I just noticed they were talking very much at the beginning of each movie (for instance you would hear Anna talking when her brother is talking about something else; she was talking in a very abrupt fashion) I thought I could really believe them being talking at all. This is by far an all-time classic, not only for Anna but for all of them to have talked in all their live-action films (in fact, all three of these films did so just by singing) this makes one think this isn't just a movie for these two; in other words, the three girls in the film are really the main actors.<blockquote class=""blocktext"" src=""http://www.youtube.com/watch?v=7"
