,prompt,answers
0,"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' as well as many other films. In the words of one recent film critic, `The Three Stooges' is perfect for a film for those who enjoy watching horror films in films and for people who have to see films for themselves. The acting, screenplay and story have the perfect balance of story, action, humor and comedy. I highly recommend this film to all horror fans. It is an amazing film. And very well done. As far as horror movies go, this one is the best. With great acting by the great director Gao Hark, great story and a great script, I recommend it to everyone. Some people may think it is a good movie, but it really is great. This is what a movie should be like, and when you see it, it makes you want to be a horror fan. If you are not a fan of horror, the film definitely is for you. There is something for everyone, everyone likes it. You will love this movie. All in all, a must for all fans of all things horror and horror. A must! The script by Brian Kurosawa is very good, there are some great action sequences, strong characters, good special effects and great special FX. Although I don't have a lot of different"
1,"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. Pierce has amazing facial hair, perfect lines, amazing moves, incredible timing and a master of the suspense, Pierce goes on a journey to uncover the mystery of his sister's death, finding the ultimate sacrifice that will bring about the end, to her death. This movie is one of those movies that never lets you down, never let you stop laughing, it's amazing! I loved it. I love to watch movies with great actors, great directing, fantastic story and amazing acting! That's the beauty of movies, this movie makes you laugh, stay in the moment and you will be hooked! This is definitely a must for all movies fans! It's a good movie for anybody! Also for the newbie, for those that are newer to cinema these movies are great too. They have everything, they're good for you too! What a way to start off the year! Get ready to see what's coming up next! The movie begins with a wonderful scene which is very well done, I think it would be a perfect movie to get the first time- it is great! When you see this scene get excited, get scared, laugh and it will make you cry! it also has great music by Michael B. Jordan, a lot of great scenes and I highly"
2,"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards.""The Last Battle of The Bastards"" is a beautiful film, and a great film to watch as well as a film. It shows the power of cinema to create a world where everyone can live their life with their own freedom and to live with others, not because of them, but because they have that freedom. There is something about the great people who live, there is also a bit of great medicine and an amazing story. ""The Hero in Yellow"" deals with both the human and fantasy worlds, with different people in different places and different times, all in the same way. I think this is an excellent film.""Whirling Water"" starts out very well, very very good. This is one of my very favorite movies and I highly recommend it to anyone who likes to see people move around. The people are wonderful! I also loved the way they spoke and how they looked at the life of a man who is in love with his wife. A must see for anybody who loves to look at someone's life and their relationships. Jean-Georges Legrand is wonderful as the hero and by the end he is very important to the story, I really loved it!""Queen's Cry"" tells the good and of course the evil story of Jean and his people."
3,Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made. It is a film that is as touching and unique as one can imagine. The story is wonderfully told, the acting is superb and the story makes an amazing perfect movie. This is an excellent movie to watch! I highly recommend it to anyone who enjoys good movies. I can't believe how good this film is. Everyone I've seen has loved it and I think it's one that will make you smile. Well, I do. You'll be amazed at what you can do with the right amount of comedy. At times, you'll laugh a lot. There's so much to it, it really is great. And it has great jokes. Definitely one to see. Very good. If you have never seen it before, then this is the film to get you on the edge of your seat, and it does it well. When you see it on your TV, watch it. Watch it if you haven't. See it whenever you like, especially if it was directed by one heck of a director. A must have for any comedian, comedian who likes to laugh, or comedian with a sense of humor. One of my favorite parts of The Great South is when you watch the movie, to some extent. While it may sound cliche, if that's the"
4,"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE, or THE VAMPIRES, but I do think that this is a great film, and a wonderful film. It is great to see this movie made at the great frame rate of 5, the stunning images, great acting, amazing cinematography, incredible music, perfect cinemas, beautiful cinemaurs, fabulous cinematheres, fantastic cinemaks, brilliant cinemodes, superb cinemaxes, phenomenal cinematics, glorious cinemases, marvelously beautiful cinema spaces, astonishing cinemareces, magnificent cinemaces, marvelous cinematodes and wonderful cinemazons. There are many wonderful things about this wonderful movie and I found it incredible! I highly recommend this great movie to anyone! It's great! And you can just imagine how brilliant and amazing it is! IT is amazing! That is one of the most amazing things I have ever seen! The acting is superb! There is so much to like about it! BECAUSE it has a BONK! amazing BEGGING! incredible BLEWING BANE RAPIDS, BERNARDO'S MOVIE, THE BANK OF BRAZIL, AQUAMAN, DE LA CAMALONIS, DAKOTA, FRENCHES LA DESTAURES AND E"
5,"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ive always associated with the boys I grew up with,it's a great show that will give a unique angle of how girls behave,and it's also a very good show for every girl I know. The acting, the writing, and the direction are superb,perfectly crafted for a show of its genre,so if you've not heard of this show already,you will have seen it by now. If you haven't yet,then give it a go and check it out and then come back if it isn't already on IMDb,after the fact! It is one of my all time favourite shows,because it gives us an incredible story to tell the story of a beautiful girl,recovering to life after the war,while at the same time being a pretty cool girl. I love the way the characters are written and how they change in their reactions to situations,which I think is something that some of today's girls will find very intriguing. This is a perfect show to watch if not for the great acting and brilliant writing by the male leads,as I'm sure many of you know by today,this series is very unique to it,its a wonderful show,however you might think,the characters will carry you through their times,imagine"
6,This is a really fun movie,"This is a really fun movie to look at a film made in the 60's, and as a child it taught me a lot about film making, as I was becoming one and seeing it as an adult made me appreciate the possibilities of film. The acting is great, the story really is, amazing, this movie is one of my all-time favorites, it has it all! I highly recommend this to anyone who likes an amazing movie, great acting, suspense, or a good story! This is definitely the movie of the century, I think this is something I would recommend to any film student as they will probably find it very funny in this film! It is incredibly well written, well acted, with great cinematography, very good music, fantastic special effects, a perfect soundtrack, awesome special FX, stunning special sounds, wonderful special touches, incredible special look effects...it's worth it! And for those not in a mood to have fantastic movies, watch this! You will not regret renting it. It's so perfect! The first half of it is amazing! After that you will be captivated by it, you'll love it immensely! Even if you aren't a huge movie fan, then you won't forget it!! This movie was a must have for any movie student! Definitely a MUST"
7,Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues (Jean-Marc Valland, Max Von Sydow, Guy Ritchie) and is forced to work for a living. Unfortunately, she is able to overcome the obstacles thrown at her through her courage and will fight to the end for freedom. During the war, Carli was a hero to many, and her fight against Nazism inspired the American resistance to Hitler. In her new role, the film shows the courage the two men faced and how they fought together. This film is a powerful film, as well as an inspiring one to watch. It is very good to see that people of all ages can understand a lot of great things. I highly recommend it to anyone who needs to relate to Carlette and to those of us with a history of resistance. If you are a Van Damme fan or a follower of Van Dien, go there and see this one. You will be impressed. The music is amazing. Carchi is the perfect actress to play the part of the hero in the movie. She is brilliant as Carrigan and VanDien. One of my favorite actresses by far. Her movie is one perfect movie to show to any, anyone, that resistance is based on. Although I disliked the book, I have enjoyed every chapter and every scene and"
8,"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure. It has been praised for the heart-warming story and the outstanding acting. That is what makes this movie different from other romantic thrillers I have seen. I enjoyed it immensely and it is one of the best films I've ever seen.<br /><br />I think the film is an outstanding work of art and a powerful musical. This film gives us a great musical score and is a must for all lovers of great music. The music is perfect and I loved the ending.<Br />I highly recommend this to anyone who is interested in great film music, or great dancing. Its also a perfect movie for film fans. There is also plenty of music to the movie, great performances by the great actors and great actresses.<br -><BR />This is probably the most powerful movie I ever saw. Every scene in the whole movie is incredible. For me it's a fantastic movie and for any movie fan who has never seen it, it will please you. You'll love it! It is unique and unique. Everything happens in a very well done and very dramatic way. In this very powerful and powerful film, you will have the perfect time in your life to dance with great and incredible dancers. As a lover of wonderful dance, this is the greatest"
9,"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) and it gives the same great performance (as in the original) as well as the way in which it is shot (although it was a good, I think, original script that I highly recommend). This version is very well done and I found it very enjoyable to watch. I also found that this is an excellent film to see, as it shows a lot of the greats of both countries in their roles, especially in both the 1940s and the early thirties (before the Blitz). As I said earlier, the film shows very much where the two countries were in 1940 and how the war affected them. Here, it's also very good. It's a great film for all ages to try to understand what made the world great, and what it would mean to a person of that era.<br/>< br />This is a very nice film as a film, because it captures and portrays the incredible beauty of life in each country (the other countries had much different countries, more of them than I expected). And it also shows how it works at the level of a 'la rue de l'Art' (a place of family, friendship, beauty) so that it can work perfectly with the different cultures in a way that most other people would have"
