prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' -- but Hongkongers still didn't know the genre or the medium was just a series of scary film clichés, a few obscure lines, and a bunch of cheap tricks to fool us into thinking that there is a movie to be made.<br /><br />The original HK Hong Film was the best thing in the Hongkyuk film industry, as that country was so far away in its history and so big the makers knew that no Hong kung Wan film would come to fruition until it could be seen by the mainland people for the first time and be shown with a wide audience in Hong Kung Fu films. Since then they have developed so many of these films since then with 'The Master of Kung', with almost 200 million copies being sold -- and with `Ran Gung Gang' in 2002, just the kind of films Hong Hongked Kong was known for from the start.<b />The main plot is not completely good in that it is made mostly by one of Wan Wei's older brothers, who is also the director of Hong-kung's great silent film `Xin Hong Zhi' (Sung Fu, 1987). However there are elements of HK movies that are enjoyable and not very entertaining -- for example the fact that we don't"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. I don't recommend watching this movie."
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards from the bottom. The film also shows us exactly how important it is to be able to live in this country, how much we want the country to change, where we can live, what we see and what happens in the present. But all of these things are not enough for Louis Renaud, who comes from France, as well as from other regions, to make this film. He did indeed create a film, ""The Life and Death of Jean Enelieux,"" but not a masterpiece. Like its predecessor, this is just another example of a ""periodical"" film being made. Unfortunately for him too, he has already decided to leave the company to become ""a writer"" (Jean Enfant), so he's never seen a perfect work."
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made - in fact, it has made this movie the best film I have ever seen in my career. There are quite funny scenes throughout this film. The songs were by a great number of great singers such as John Waters, Tom Waits, David Bowie, George Bush and John Glenn. We also love the music of James Dean as he sings in all three of his songs. One of my very favorite scenes - the scene where he uses the old tape recorder to record the film's music was one I had never heard before. A lovely piece of filmmaking - but most of all - a film that I think should never be seen again! <br /><br />This is an incredible movie that would be a major classic! My wife and I took part in the screening and were so blown away that we bought tickets for it! I thought that was a GREAT movie! This is the perfect movie to hang out with friends and family, as well as to spend time with loved ones. After seeing it many friends have commented to me that it is my favorite performance in any of their films. Everyone has a story. This movie is just one film of people being in love with their great selves. In fact it seems to be written by everyone! If you are one, you should"
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEUS. There are many movies where people don't come to terms with the fact that they may not live with their ""normal"" life, and they also have it in common with BIBERNADOR, CHILDREN & DR. EYVEN. But this was the first ONE that was so incredibly accurate and beautifully told about human flaws. It made me so aware of the flaws in everyone else. <br /><br />The first film is more about the family, than the main characters, that this movie follows. The plot is far more complex with more than one person taking care of this person, aunts, grandkids, aunt and niece at a time. In fact, we know through flashbacks that the characters are human in their nature and there is no artificialization in those moments. We are not given personal stories, relationships. Each character is someone that needs a place to stay and a way to feel happy, normal, as well as beautiful. This can really be a part of who and what the character wants.<br/>< br />If I had to choose a film of my life in which I loved the story, then this one would be BAZING!<br - <big thanks to everyone involved for watching this!!!! :)"
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality the movie was meant to be a good comedy, it would have been a better film had it been filmed that much easier on director/actress/singer/writer and if that is what the directors wanted to achieve they were right:i don´t think you have to have a bad film for your film to really be awful,it might make the film better (that´s right)but i do think it´S the same plot twist over and over again:the story was all completely pointless and completely forgettable and the rest of it has no meaning at all:a story where the hero's mother is a child? and where all the girls who do most of her work in the world is only male to save the day (and all men except for a certain type,who goes with the leader of an evil gang,is not a hero,he is just a character).there is even a brief reference in all of these sequences for girls in college and this is by a girl (i believe a female,but why this character),that's it... and it's not enough and i wouldn´nt have rated that film high for the reason that this was one of my favourites (for me at least).But i´m totally against the"
This is a really fun movie,"This is a really fun movie to watch! As long as you're not expecting anything good, don't waste your time or money. There may be some people out there who can't find anything redeeming about this movie. This little movie did one thing: it wasn't stupid! If you can appreciate movies such as this, you probably should!"
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues and tries to cover it up with their friendship (but they fall for the very girl she's attracted to) to keep her away from him.<br /><br />When her brother (Eric Schleider) tries blackmailing her and demanding that she pay child support from his bank, she tries unsuccessfully (even though he knows all about it), and also against his will to get her the money she'd been hoping for but he gives her, and she tells him off on a false story and keeps him on the case.<Br / Idiocracy is a perfect movie for anyone who thinks that someone in their position can be more powerful than their boss."
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure and one of the worst films of it all, and it deserved to be condemned...a fine film, if you are into the horrors of cinema.<br /><br />This film was filmed at the turn of one century and a third of a century after the publication of Dostoyevsky's ""A Tale of Two Sisters"", and from then on it has become a major hit in film making circles worldwide and has sold, both as a new and timeless masterpiece and in popular film and television.<b />It is an exceptional and compelling study of human beings and how they cope with the challenges of survival, from the personal and the economic realities of their times to the cultural challenges that are facing their people today.The film is made up of fascinating characters in various roles who are both courageous enough to face the problems today and naive enough not to over think this issue.<citation needed).<br _SPOILER_ <br><btw, I've got to admit that when I saw the trailer, which shows the film now on DVD - the first twenty minutes is quite entertaining to watch and although the acting here isn't great, it does have it's moments. The whole cast looks really, really awesome with a lot of chemistry and an excellent performance from Emma"
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) in comparison. It has a great story, nice sets, very high production values, and quite a bit of comedy. And a special soundtrack by Michael B. Jordan and Jeff Bridges - the latter of which may seem to be a nod to the other two directors too - that works especially well with the film that begins with Anna. A film with two very different actors and with lots of different things happening throughout the whole film - Anna is a fine role, she can be wonderful and sympathetic (if not a little silly) and I have seen much newer directors work on this type of film in their later films and this certainly adds some new surprises for them. The plot begins in a small town with an orphaned man who's moved to America (Emanuel) for a very very young age. He then is killed by a gang of gangsters. That makes him fall into a coma, but soon he gets back in touch with his real love. In an attempt to get back the orphan boy, it turns out when everyone is around he is murdered by some insane old man. This brings the family to Sweden, where Anna, who is very innocent of his death, goes to an old witch house. She has an evil spirit and wants him dead.<br/><BR />"
